"Date","Open","Close","Volume","log_close","change","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","int_date"
2016-11-16,182.649994,183.929993,3430400,5.21455521238475,0.000870593657928964,1,0,0,1,0,1,1,0,1,0,17121
2016-11-17,183.490005,188.660004,4887100,5.23994647442387,0.0257163659001498,1,1,0,0,1,1,1,1,1,1,17122
2016-11-21,185.039993,184.520004,4361000,5.21775788036749,-0.00270241049178666,0,0,0,0,0,0,0,0,0,0,17126
2016-11-22,185.839996,191.169998,5603400,5.25316307407903,0.0360394204196961,0,0,0,0,0,0,0,1,0,0,17127
2016-11-28,195.479996,196.119995,4529200,5.27872669128844,-0.00269513865329685,1,0,0,1,0,0,0,0,1,0,17133
2016-11-29,195.559998,189.570007,4439300,5.24475838637915,-0.0333978593054726,0,0,0,0,0,0,0,0,0,1,17134
2016-12-01,188.25,181.880005,5126400,5.20334715644746,-0.0397042726411068,0,0,0,0,0,0,0,0,0,0,17136
2016-12-06,185.520004,185.850006,3391600,5.22493992902736,-0.00508563696329278,0,0,0,0,1,0,0,1,0,1,17141
2016-12-07,186.149994,193.149994,5461900,5.26346705804835,0.0392789225952459,0,0,0,0,0,0,0,0,0,0,17142
2016-12-12,192.800003,192.429993,2438900,5.2597324148556,0.00130086382092864,0,2,0,0,0,0,2,2,0,2,17147
2016-12-13,193.179993,198.149994,6823900,5.28902428935635,0.0297251011176829,0,0,0,0,0,0,0,0,0,0,17148
2016-12-14,198.740005,198.690002,4150900,5.29174583123093,0.00272524863159984,0,3,0,1,0,1,4,3,1,4,17149
2016-12-15,198.410004,197.580002,3219600,5.28614357573881,-0.00558659212253665,1,0,0,1,0,1,0,0,2,0,17150
2016-12-27,214.880005,219.529999,5915700,5.39148889288065,0.0290147328961232,0,0,0,0,0,0,0,0,0,1,17162
2016-12-28,221.529999,219.740005,3782500,5.3924450520269,0.000956616412137734,0,2,0,2,0,2,2,0,2,0,17163
2016-12-29,218.559998,214.679993,4035900,5.36914851470196,-0.0230272680661857,1,0,1,1,0,1,1,0,1,0,17164
2016-12-30,216.300003,213.690002,4642600,5.36452637601772,-0.00461147304024745,0,0,0,0,0,0,0,0,0,2,17165
2017-01-03,214.860001,216.990005,5923300,5.37985129257184,0.0154429452436431,0,0,0,0,0,1,0,0,1,0,17169
2017-01-04,214.75,226.990005,11213500,5.42490598567501,0.0460850719829238,1,0,0,0,0,0,0,0,1,0,17170
2017-01-06,226.929993,229.009995,5527900,5.43376564888998,0.00996690187431093,0,0,0,0,0,0,1,0,0,1,17172
2017-01-10,232,229.869995,3660000,5.4375139099849,-0.00609652372058345,0,0,0,0,0,0,0,0,0,0,17176
2017-01-11,229.070007,229.729996,3650800,5.43690468889234,-0.000609035555075299,0,1,0,0,0,0,0,1,0,1,17177
2017-01-13,230,237.75,6093000,5.4712197014255,0.0355416357078555,0,0,0,0,0,0,0,0,0,0,17179
2017-01-18,236.649994,238.360001,3769000,5.47378214007411,0.0118006578504062,0,2,0,0,0,0,0,0,0,0,17184
2017-01-19,247.25,243.759995,7732300,5.49618411416547,0.0226547825866135,5,5,1,5,1,5,3,0,8,2,17185
2017-01-24,250,254.610001,4965500,5.53973296657727,0.0228587620348608,0,1,0,0,2,0,3,1,0,2,17190
2017-01-25,257.309998,254.470001,5142600,5.5391829547796,-0.000549860568909932,0,1,0,0,0,0,0,0,0,2,17191
2017-01-26,254.289993,252.509995,3152100,5.5314508320904,-0.00770230672494865,1,0,1,1,0,1,0,0,1,0,17192
2017-01-27,251.380005,252.949997,3166300,5.53319182887789,0.00174251320229923,0,1,0,0,0,0,1,1,0,2,17193
2017-01-30,252.529999,250.630005,3801100,5.52397776793625,-0.00917174155965683,0,1,0,0,1,0,0,1,1,1,17196
2017-01-31,249.240005,251.929993,4116100,5.52915124336076,0.00518688095625253,0,0,0,1,0,0,1,0,1,1,17197
2017-02-01,253.050003,249.240005,3958800,5.51841630773701,-0.0106775218304396,0,0,0,0,0,0,0,0,0,0,17198
2017-02-02,248.339996,251.550003,2499800,5.52764178886339,0.00926816704244571,0,0,0,0,0,0,0,0,0,0,17199
2017-02-06,251,257.769989,3562500,5.55206767178144,0.0256236300829695,0,1,0,0,1,0,2,2,1,5,17203
2017-02-07,258.190002,257.480011,4244800,5.55094208990618,-0.00112494864559276,0,1,0,0,0,0,0,0,0,1,17204
2017-02-08,257.350006,262.079987,3933000,5.56864975106153,0.0178653713044934,0,1,0,0,0,0,0,1,0,3,17205
2017-02-09,266.25,269.200012,7820200,5.59545464234709,0.0271673739055855,0,2,0,0,0,0,0,0,0,4,17206
2017-02-10,269.790009,269.230011,3619700,5.59556607372629,0.000111437587900109,1,0,0,1,0,1,0,0,1,1,17207
2017-02-13,270.73999,280.600006,7029600,5.63693018905111,0.0422315289360518,1,2,0,0,0,0,0,1,4,6,17210
2017-02-15,280,279.76001,4947900,5.63393212850004,-0.00434194943497235,0,0,0,0,0,0,1,0,1,0,17212
2017-02-16,277.600006,268.950012,7077300,5.59452553333721,-0.0386402545524644,0,0,0,0,0,0,0,0,0,1,17213
2017-02-21,275.450012,277.390015,5676700,5.62542451227976,0.0189545744095057,0,1,0,0,1,0,0,0,0,1,17218
2017-02-22,280.309998,273.51001,8755000,5.61133822082665,-0.0139875438558954,2,3,0,3,1,3,2,3,4,6,17219
2017-02-23,264,255.990005,14915200,5.54513840074862,-0.064056174763037,0,0,0,0,0,0,0,0,0,0,17220
2017-02-27,248.169998,246.229996,11460800,5.50626604223473,-0.0419066303501946,1,0,1,0,0,1,0,0,1,1,17224
2017-02-28,244.190002,249.990005,6078100,5.52142093706302,0.015270312557695,0,0,0,0,0,0,0,0,0,1,17225
2017-03-01,254.179993,250.020004,4809500,5.52154093066114,0.000120000797631858,1,0,1,1,0,1,0,0,1,0,17226
2017-03-02,249.710007,250.479996,3351800,5.52337906104881,0.00183982078489997,0,1,0,0,0,0,0,0,0,0,17227
2017-03-03,250.740005,251.570007,2919400,5.52772130865832,0.00435168882707915,0,2,0,0,0,0,0,1,0,1,17228
2017-03-06,247.910004,251.210007,3355500,5.52628927058402,-0.00143101319705419,0,2,0,0,0,0,0,3,1,2,17231
2017-03-07,251.919998,248.589996,3459500,5.51580493691534,-0.0104295646152344,0,0,0,0,0,0,0,0,0,0,17232
2017-03-09,247.630005,244.899994,3879300,5.50084993945833,-0.00797991266617881,0,3,0,0,0,0,0,2,0,5,17234
2017-03-10,246.210007,243.690002,3066300,5.49589693393812,-0.00494075961471852,3,2,0,3,2,1,2,2,3,2,17235
2017-03-13,244.820007,246.169998,3022600,5.50602234604859,0.0101768475507666,0,0,0,0,0,0,0,0,1,0,17238
2017-03-14,246.110001,258,7598400,5.55295958492162,0.0480562298253746,0,1,0,1,1,0,0,1,0,3,17239
2017-03-15,257,255.729996,5330800,5.54412218476383,-0.00879846511627902,0,1,0,2,0,1,0,1,1,1,17240
2017-03-16,262.399994,262.049988,7132200,5.56853527945539,0.0247135341917417,0,2,0,0,1,0,1,2,0,2,17241
2017-03-17,264,261.5,6497500,5.56643428350498,-0.00209879040330274,0,0,0,0,0,0,0,0,1,1,17242
2017-03-21,262.829987,250.679993,6908600,5.52417719743243,-0.0429139410587919,0,0,0,1,1,0,0,2,1,2,17246
2017-03-22,251.559998,255.009995,4059300,5.54130274046871,0.0172730258533238,0,0,0,0,0,0,0,0,0,0,17247
2017-03-24,255.699997,263.160004,5647300,5.57276222741768,0.0328911415059705,0,0,0,0,0,0,0,0,0,1,17249
2017-03-27,260.600006,270.220001,6230800,5.5992364457325,0.0268277735700293,1,3,0,2,1,1,1,2,2,6,17252
2017-03-28,277.019989,277.450012,7987600,5.62564078002295,0.0267560172202057,2,1,1,2,1,2,2,2,3,3,17253
2017-03-29,278.339996,277.380005,3676200,5.625388425254,-0.000252322930157312,0,0,0,0,0,0,0,0,0,0,17254
2017-03-30,278.040009,277.920013,4148400,5.62733334926884,0.00194681660633766,1,0,0,0,0,0,0,0,0,0,17255
2017-04-03,286.899994,298.519989,13888600,5.69883689541473,0.0726554145593425,1,2,0,0,0,0,0,0,1,1,17259
2017-04-04,296.890015,303.700012,10134600,5.71604041156438,0.0173523488907807,0,1,0,0,1,0,2,2,0,3,17260
2017-04-05,302.040009,295,7880900,5.68697535633982,-0.0286467291940706,0,0,0,0,0,0,0,0,0,0,17261
2017-04-06,296.880005,298.700012,5520600,5.69943976539615,0.0125424135593222,0,1,0,0,0,0,0,1,0,1,17262
2017-04-07,297.5,302.540009,4579600,5.71221352988219,0.0128556975083081,0,0,0,0,0,0,1,0,0,0,17263
2017-04-10,309.149994,312.390015,7664500,5.74425245522681,0.0325576971870851,0,4,0,1,1,0,2,3,1,6,17266
2017-04-11,313.380005,308.709991,5724600,5.73240229573981,-0.0117802228730006,0,0,0,0,0,0,1,0,1,0,17267
2017-04-12,306.339996,296.839996,6050700,5.69319325962666,-0.0384503104727829,0,2,0,2,0,1,0,1,2,4,17268
2017-04-13,296.700012,304,9284600,5.71702770140622,0.0241207522452602,1,1,1,0,0,1,0,2,1,2,17269
2017-04-17,302.700012,301.440002,4138700,5.70857099802282,-0.00842104605263161,1,1,0,0,2,0,1,2,1,3,17273
2017-04-18,299.700012,300.25,3035700,5.70461546096009,-0.00394772423070777,4,3,0,2,0,0,0,2,5,5,17274
2017-04-19,302.459991,305.519989,3898000,5.72201520691307,0.0175520033305578,1,0,0,1,1,0,0,1,1,2,17275
2017-04-20,306.51001,302.51001,6149400,5.71211436783249,-0.00985198713135582,0,3,0,0,3,2,1,4,3,6,17276
2017-04-21,302,305.600006,4509800,5.72227707692587,0.0102145248020056,0,0,0,0,0,0,0,0,0,2,17277
2017-04-24,309.220001,308.029999,5083500,5.73019717758122,0.00795154761875216,0,2,0,0,0,0,0,0,0,1,17280
2017-04-25,308,313.790009,6737700,5.74872400104127,0.0186995098487146,0,1,0,1,0,0,0,1,1,0,17281
2017-04-26,312.369995,310.170013,4695000,5.73712057617921,-0.0115363647540481,0,0,0,0,0,0,0,0,0,0,17282
2017-04-27,311.690002,308.630005,3468600,5.73214316462579,-0.00496504476723869,2,1,0,2,1,1,1,2,2,2,17283
2017-04-28,309.829987,314.070007,4463400,5.7496159132874,0.0176262900945097,0,2,0,0,0,0,0,2,0,1,17284
2017-05-01,314.880005,322.829987,8829600,5.77712582861154,0.0278918069371714,0,0,0,1,0,1,0,0,1,1,17287
2017-05-02,324,318.890015,5382800,5.7648462627701,-0.0122044796290873,0,2,0,2,0,0,0,0,0,1,17288
2017-05-03,317.670013,311.019989,7133400,5.73985718342569,-0.0246794368898631,2,3,0,2,0,2,0,1,3,5,17289
2017-05-04,307.440002,295.459991,14152000,5.68853343343249,-0.0500289323847928,0,3,0,1,1,1,1,1,1,4,17290
2017-05-05,298,308.350006,8177300,5.73123552089591,0.0436269389854547,1,1,1,1,0,1,1,1,2,0,17291
2017-05-08,310.899994,307.190002,7006500,5.72746645517098,-0.00376197171210702,0,2,0,0,0,0,3,2,0,2,17294
2017-05-09,309.380005,321.26001,9676500,5.77225079525706,0.0458022979536945,0,0,0,1,0,0,0,1,2,1,17295
2017-05-10,321.559998,325.220001,5741600,5.78450187947242,0.0123264361474682,0,2,0,0,0,0,0,0,0,0,17296
2017-05-11,323.399994,323.100006,4753800,5.77796189140055,-0.00651864889453713,0,1,0,0,0,0,1,0,0,0,17297
2017-05-12,325.480011,324.809998,4121600,5.78324038983347,0.00529245425021752,0,1,0,0,1,0,1,1,2,3,17298
2017-05-15,318.380005,315.880005,7622000,5.75536241045818,-0.0274929745235244,0,1,0,0,1,1,1,1,1,1,17301
2017-05-16,317.589996,317.01001,4152500,5.75893335066579,0.00357732361059071,1,1,0,0,0,0,0,0,1,0,17302
2017-05-17,314.390015,306.109985,6711900,5.72394446547815,-0.0343838511597789,1,1,0,0,2,1,1,2,1,2,17303
2017-05-18,307,313.059998,5653800,5.74639485907153,0.0227043002207197,0,0,0,0,0,0,1,0,0,0,17304
2017-05-19,315.5,310.829987,4687600,5.73924609710826,-0.00712327034513038,1,1,0,0,1,0,1,1,0,2,17305
2017-05-22,312.799988,310.350006,4329200,5.73770071219267,-0.00154419142320394,0,0,0,0,0,0,0,1,0,0,17308
2017-05-24,306.51001,310.220001,5033300,5.73728172642012,0.0209307454550163,1,2,0,1,1,1,2,2,1,2,17310
2017-05-25,311.019989,316.829987,5014000,5.75836531139502,0.0213074140245393,0,0,0,0,0,0,0,0,0,0,17311
2017-05-26,317.279999,325.140015,7802200,5.78425590494005,0.0262286662909845,0,1,0,0,2,0,1,1,1,2,17312
2017-05-31,337.690002,341.01001,9963400,5.83191183169138,0.0176365380309782,0,2,0,0,2,1,3,3,1,4,17317
2017-06-01,344,340.369995,7608000,5.83003324651563,-0.00187682173904513,0,2,0,0,1,0,1,4,0,4,17318
2017-06-05,338.5,347.320007,6784400,5.85024656534677,0.0219802879744542,1,3,0,0,2,0,1,2,0,2,17322
2017-06-06,344.700012,352.850006,11086800,5.86604305445123,0.0159219131882604,0,2,0,0,0,0,0,0,0,3,17323
2017-06-08,363.75,370,9009800,5.91350300563827,0.0287779957532823,1,1,1,3,1,2,1,1,3,2,17325
2017-06-09,374.420013,357.320007,17261400,5.87863175842392,-0.0342702513513514,0,0,0,1,1,1,1,0,1,1,17326
2017-06-12,357.98999,359.01001,10517700,5.88335027110791,0.00472966239475103,0,0,0,0,0,0,0,0,0,0,17329
2017-06-13,367.619995,375.950012,11807900,5.92945618774317,0.047185319428837,0,2,0,1,1,1,1,2,1,3,17330
2017-06-14,381.089996,380.660004,12818400,5.9419065987677,0.012528240057617,1,1,1,2,0,1,1,0,1,0,17331
2017-06-15,372.5,375.339996,10426500,5.92783227120612,-0.0139757472392609,0,0,0,0,0,0,0,0,0,0,17332
2017-06-16,377.980011,371.399994,6731000,5.91727963276352,-0.0104971546917159,0,0,0,0,0,1,0,0,1,1,17333
2017-06-19,375,369.799988,6549300,5.91296228650305,-0.00430803991881601,0,2,0,1,0,0,1,2,1,5,17336
2017-06-20,376.670013,372.23999,7438700,5.919538780672,0.00659816679063807,0,0,0,1,1,1,1,0,1,1,17337
2017-06-21,374.350006,376.399994,4923200,5.93065239177074,0.0111755966896518,0,1,0,0,1,0,1,3,0,4,17338
2017-06-22,377.98999,382.609985,7529800,5.94701615441783,0.0164983823033749,0,2,0,0,3,2,2,2,1,4,17339
2017-06-23,382.450012,383.450012,6445800,5.94920926550569,0.00219551771499127,0,0,0,0,0,0,0,2,0,2,17340
2017-06-26,386.690002,377.48999,6604100,5.93354405178122,-0.0155431524670289,1,1,0,0,1,0,0,1,0,2,17343
2017-06-27,376.399994,362.369995,6996400,5.89266577548725,-0.0400540289823313,0,0,0,0,0,0,0,0,0,0,17344
2017-06-28,366.679993,371.23999,6302500,5.91684872679044,0.0244777302822767,0,4,0,2,0,0,0,4,1,3,17345
2017-06-29,370.609985,360.75,8221000,5.88818519765398,-0.028256627202258,2,2,0,1,0,0,0,2,2,2,17346
2017-06-30,363.709991,361.609985,5848500,5.89056624152173,0.00238388080388074,0,0,0,0,0,0,0,0,0,0,17347
2017-07-03,370.23999,352.619995,6305400,5.86539097567304,-0.0248610115121682,1,3,0,1,0,0,0,1,3,7,17350
2017-07-05,347.200012,327.089996,17046700,5.79023535015735,-0.0724008829958722,0,2,0,1,1,1,1,2,1,5,17352
2017-07-06,317.26001,308.829987,19324500,5.73279092159655,-0.0558256419435096,1,2,1,4,1,1,0,2,3,3,17353
2017-07-07,313.5,313.220001,14176900,5.74690582223093,0.0142149861891487,1,1,0,0,1,0,0,2,1,3,17354
2017-07-11,316,327.220001,11559400,5.79063273061098,0.0353425515713042,0,1,0,1,0,0,0,0,1,1,17358
2017-07-17,325.540009,319.570007,9876900,5.76697636405657,-0.0250472634847986,2,3,0,1,0,0,0,1,1,1,17364
2017-07-18,317.5,328.23999,6373700,5.79374501766842,0.0271301524238474,0,1,0,2,1,2,2,1,2,1,17365
2017-07-19,328.230011,325.26001,6357000,5.78462489324494,-0.00907866223125331,0,1,0,0,0,0,0,1,3,1,17366
2017-07-20,326.899994,329.920013,5166200,5.79885024023209,0.0143270087214225,0,0,0,0,0,0,0,1,1,4,17367
2017-07-21,329.459991,328.399994,4901600,5.79423235930787,-0.00460723490575277,0,2,0,0,2,0,1,1,0,2,17368
2017-07-24,330.23999,342.519989,8637100,5.83633001804308,0.0429963314798356,1,4,1,1,3,1,1,2,2,3,17371
2017-07-25,345,339.600006,6989200,5.82776847210504,-0.00852500027377967,3,1,0,1,0,1,0,0,4,1,17372
2017-07-26,340.359985,343.850006,4820800,5.84020553321531,0.012514722982661,4,1,0,2,0,3,0,1,5,3,17373
2017-07-27,346,334.459991,8302400,5.81251726404393,-0.0273084625160658,0,0,0,0,0,0,0,0,0,1,17374
2017-07-28,336.890015,335.070007,4880400,5.814339486112,0.00182388332361105,1,0,0,1,0,0,0,0,3,3,17375
2017-07-31,335.5,323.470001,8535100,5.77910637702897,-0.0346196489022067,1,4,2,2,2,1,1,4,3,4,17378
2017-08-01,323,319.570007,8303100,5.76697636405657,-0.0120567409278861,2,2,0,0,3,1,2,2,1,8,17379
2017-08-02,318.940002,325.890015,13091500,5.78655994714157,0.0197765993727941,3,1,2,3,0,3,1,1,4,2,17380
2017-08-03,345.329987,347.089996,13535000,5.84958410078716,0.0650525638227977,2,2,2,4,1,3,5,2,7,7,17381
2017-08-04,347,356.910004,9268900,5.87748366036385,0.0282923971107483,0,0,0,0,0,0,0,0,0,1,17382
